model,query_mode,index,r_precision,ndcg@10,r_precision_literal,ndcg@10_literal,r_precision_idiomatic,ndcg@10_idiomatic,num_queries,num_queries_literal,num_queries_idiomatic
BAAI/bge-base-en-v1.5,sentence,lit_sim_sense,0.18623333333333336,0.32748339964168993,0.2495666666666667,0.4348775469988347,0.1229,0.22008925228454518,1500,750,750
BAAI/bge-base-en-v1.5,span,lit_sim_sense,0.20859999999999998,0.3562964480768675,0.3004666666666667,0.5057898746713625,0.11673333333333333,0.20680302148237245,1500,750,750
BAAI/bge-base-en-v1.5,instruction_sentence,lit_sim_sense,0.17475,0.2854696124530038,0.3279,0.5482515304193428,0.021599999999999998,0.022687694486664762,1500,750,750
BAAI/bge-base-en-v1.5,instruction_span,lit_sim_sense,0.2136,0.3506705838180039,0.3950666666666666,0.6639766774505296,0.03213333333333333,0.0373644901854783,1500,750,750
BAAI/bge-m3,sentence,lit_sim_sense,0.20459999999999998,0.36124902544595877,0.24856666666666663,0.4332767714912593,0.16063333333333332,0.2892212794006583,1500,750,750
BAAI/bge-m3,span,lit_sim_sense,0.2709333333333333,0.42340730443656677,0.403,0.6099799745576295,0.13886666666666667,0.23683463431550403,1500,750,750
BAAI/bge-m3,instruction_sentence,lit_sim_sense,0.21895,0.3693165345157763,0.36873333333333325,0.6265282987334525,0.06916666666666667,0.1121047702981001,1500,750,750
BAAI/bge-m3,instruction_span,lit_sim_sense,0.31225,0.4330730484921845,0.5721999999999999,0.8084885839469046,0.0523,0.05765751303746432,1500,750,750
Qwen/Qwen3-Embedding-0.6B,sentence,lit_sim_sense,0.15530000000000002,0.2815290159624441,0.1864,0.33393202559436624,0.1242,0.22912600633052196,1500,750,750
Qwen/Qwen3-Embedding-0.6B,span,lit_sim_sense,0.24344999999999997,0.3805314488151548,0.3278,0.5066690754576911,0.1591,0.2543938221726184,1500,750,750
Qwen/Qwen3-Embedding-0.6B,instruction_sentence,lit_sim_sense,0.24828333333333333,0.4041679438595157,0.3540666666666667,0.5521623252923351,0.1425,0.25617356242669626,1500,750,750
Qwen/Qwen3-Embedding-0.6B,instruction_span,lit_sim_sense,0.28335,0.41738847424580533,0.42939999999999995,0.6328409147186624,0.1373,0.2019360337729481,1500,750,750
Qwen/Qwen3-Embedding-4B,sentence,lit_sim_sense,0.19796666666666665,0.3411734763661355,0.22766666666666666,0.39115983582403663,0.16826666666666668,0.2911871169082344,1500,750,750
Qwen/Qwen3-Embedding-4B,span,lit_sim_sense,0.23865000000000003,0.3812196249265301,0.2892,0.46260492818708926,0.1881,0.2998343216659711,1500,750,750
Qwen/Qwen3-Embedding-4B,instruction_sentence,lit_sim_sense,0.2619666666666667,0.4215881648635168,0.30426666666666663,0.47680070694844306,0.21966666666666668,0.36637562277859054,1500,750,750
Qwen/Qwen3-Embedding-4B,instruction_span,lit_sim_sense,0.3625,0.5367492116639014,0.42373333333333335,0.6255285129061002,0.3012666666666666,0.4479699104217027,1500,750,750
bm25,sentence,lit_sim_sense,0.3262833333333333,0.42995561801773907,0.5843333333333334,0.7016530553733498,0.06823333333333333,0.15825818066212813,1500,750,750
bm25,span,lit_sim_sense,0.4843166666666667,0.4862129487457771,0.9683666666666666,0.9720346756271894,0.0002666666666666667,0.0003912218643648494,1500,750,750
facebook/contriever,sentence,lit_sim_sense,0.08639999999999999,0.178312882589019,0.11643333333333332,0.2311524628869933,0.056366666666666676,0.1254733022910447,1500,750,750
facebook/contriever,span,lit_sim_sense,0.30435,0.417783502289768,0.5559666666666666,0.7660168392921234,0.052733333333333327,0.06955016528741277,1500,750,750
facebook/contriever,instruction_sentence,lit_sim_sense,0.12345,0.22797521587789768,0.1981,0.3559239662090016,0.04879999999999999,0.10002646554679381,1500,750,750
facebook/contriever,instruction_span,lit_sim_sense,0.34195,0.4386207371410974,0.6481666666666667,0.8423637221843665,0.03573333333333334,0.03487775209782815,1500,750,750
facebook/drama-1b,sentence,lit_sim_sense,0.18189999999999998,0.3221553339492173,0.2069666666666667,0.3561165417750204,0.15683333333333332,0.2881941261234142,1500,750,750
facebook/drama-1b,span,lit_sim_sense,0.4347166666666667,0.5467217677953439,0.6595,0.8311987820927531,0.2099333333333333,0.26224475349793475,1500,750,750
facebook/drama-1b,instruction_sentence,lit_sim_sense,0.19970000000000002,0.3346327147078229,0.3568,0.6108440312519184,0.042600000000000006,0.058421398163727295,1500,750,750
facebook/drama-1b,instruction_span,lit_sim_sense,0.4231833333333334,0.49411447723911306,0.7322666666666667,0.8936383558983089,0.11410000000000001,0.09459059857991717,1500,750,750
hkunlp/instructor-base,sentence,lit_sim_sense,0.18373333333333336,0.332963308690014,0.2402,0.4191145831287519,0.12726666666666667,0.24681203425127607,1500,750,750
hkunlp/instructor-base,span,lit_sim_sense,0.007416666666666667,0.007204821774252126,0.006466666666666667,0.0057269004448684034,0.008366666666666666,0.008682743103635848,1500,750,750
hkunlp/instructor-base,instruction_sentence,lit_sim_sense,0.19268333333333332,0.33467529671725593,0.3121333333333333,0.5358815957829807,0.07323333333333334,0.13346899765153122,1500,750,750
